Week Start,Applications Sent,Outreach Sent,Follow-ups,Responses,Recruiter Contacts,Interviews Started,Technical Tests,Offers,Rejections,Portfolio Blocks,Skill Blocks,Response Rate,Interview Conversion,Notes
2026-06-08,0,0,0,0,0,0,0,0,0,0,0,,,
2026-06-15,0,0,0,0,0,0,0,0,0,0,0,,,
2026-06-22,0,0,0,0,0,0,0,0,0,0,0,,,
2026-06-29,0,0,0,0,0,0,0,0,0,0,0,,,
2026-07-06,0,0,0,0,0,0,0,0,0,0,0,,,
2026-07-13,0,0,0,0,0,0,0,0,0,0,0,,,
2026-07-20,0,0,0,0,0,0,0,0,0,0,0,,,
2026-07-27,0,0,0,0,0,0,0,0,0,0,0,,,
2026-08-03,0,0,0,0,0,0,0,0,0,0,0,,,
2026-08-10,0,0,0,0,0,0,0,0,0,0,0,,,
2026-08-17,0,0,0,0,0,0,0,0,0,0,0,,,
2026-08-24,0,0,0,0,0,0,0,0,0,0,0,,,
