id,relative_path,title,status,section,blocks_total,blocks_removed,characters_removed,original_lines,original_bytes,tex_file
root_001,00_master_audit_blueprint.md,00 — Master Audit Blueprint,canonical,root,278,0,0,1145,41340,chapters/001_00_master_audit_blueprint_md.tex
root_002,01_source_of_truth_profile.md,01 — Source of Truth Profile,canonical,root,222,0,0,929,44966,chapters/002_01_source_of_truth_profile_md.tex
root_003,02_market_role_fit_and_positioning.md,02 — Market Role Fit and Positioning,canonical,root,225,0,0,838,51943,chapters/003_02_market_role_fit_and_positioning_md.tex
root_004,03_salary_benchmark_and_remote_colombia.md,03 — Salary Benchmark and Remote-from-Colombia Feasibility,canonical,root,268,0,0,808,37461,chapters/004_03_salary_benchmark_and_remote_colombia_md.tex
root_005,04_eu_portugal_germany_mobility_strategy.md,04 — EU / Portugal / Germany Mobility Strategy,canonical,root,233,0,0,694,28914,chapters/005_04_eu_portugal_germany_mobility_strategy_md.tex
root_006,05_language_strategy_and_roi.md,05_language_strategy_and_roi.md,canonical,root,315,0,0,962,33441,chapters/006_05_language_strategy_and_roi_md.tex
root_007,06_education_courses_rebelway_masters_phd.md,"06 — Education, Courses, Rebelway, Master’s and PhD Strategy",canonical,root,215,0,0,740,27083,chapters/007_06_education_courses_rebelway_masters_phd_md.tex
root_008,07_portfolio_strategy_and_project_architecture.md,07 — Portfolio Strategy and Project Architecture,canonical,root,209,0,0,776,23584,chapters/008_07_portfolio_strategy_and_project_architecture_md.tex
root_009,08_twinsight_x500_case_study.md,08 — TwinSight X500 Case Study,canonical,root,299,0,0,893,35749,chapters/009_08_twinsight_x500_case_study_md.tex
root_010,08B_twinsight_case_study_final_structure.md,08B_twinsight_case_study_final_structure,canonical,root,280,0,0,1111,28854,chapters/010_08B_twinsight_case_study_final_structure_md.tex
root_011,09_ara_ai_tools_and_secondary_projects.md,"09 — ARA, AI Tools and Secondary Projects Strategy",canonical,root,245,0,0,840,22193,chapters/011_09_ara_ai_tools_and_secondary_projects_md.tex
root_012,10_github_linkedin_cv_strategy.md,"10 — GitHub, LinkedIn and CV Strategy",canonical,root,341,0,0,1210,37476,chapters/012_10_github_linkedin_cv_strategy_md.tex
root_013,11_company_targets_job_boards_recruiters.md,11_company_targets_job_boards_recruiters.md,canonical,root,70,0,0,879,57137,chapters/013_11_company_targets_job_boards_recruiters_md.tex
root_014,12_application_system_and_tracker.md,12_application_system_and_tracker.md,canonical,root,381,0,0,1327,28466,chapters/014_12_application_system_and_tracker_md.tex
root_015,13_interview_negotiation_and_offer_risk.md,"13 — Interview, Negotiation and Offer-Risk Framework",canonical,root,227,0,0,816,29697,chapters/015_13_interview_negotiation_and_offer_risk_md.tex
root_016,14_30_60_90_execution_plan.md,14_30_60_90_execution_plan,canonical,root,227,0,0,927,21495,chapters/016_14_30_60_90_execution_plan_md.tex
root_017,15_final_integrated_strategy.md,15_final_integrated_strategy,canonical,root,273,0,0,981,25430,chapters/017_15_final_integrated_strategy_md.tex
root_018,16_final_consistency_audit_and_gap_register.md,16_final_consistency_audit_and_gap_register,canonical,root,189,0,0,740,21044,chapters/018_16_final_consistency_audit_and_gap_register_md.tex
root_019,17_cv_base_and_role_variants.md,17_cv_base_and_role_variants,canonical,root,320,0,0,1152,35817,chapters/019_17_cv_base_and_role_variants_md.tex
